method; boosting; params; preshuffle; traintime; accuracy; recallmacro; recallmicro; f1macro; f1micro; meanndcg
dummy; True; {}; True; 0:00:00.022000;0.955214;0.333333;0.955214;0.325698;0.955214;0.348391
dummy; True; {}; False; 0:00:00.022000;0.955214;0.333333;0.955214;0.325698;0.955214;0.348391
dummy; False; {}; True; 0:00:00.030000;0.955214;0.333333;0.955214;0.325698;0.955214;0.348391
dummy; False; {}; False; 0:00:00.030000;0.955214;0.333333;0.955214;0.325698;0.955214;0.348391
randomforest; True; {'n_estimators': 1000, 'max_depth': None}; False; 0:02:33.618000;0.789003;0.649441;0.789003;0.42122;0.789003;0.653407
adaboost; True; {'n_estimators': 1000, 'learning_rate': 0.5}; False; 0:00:18.929000;0.79104;0.646584;0.79104;0.421775;0.79104;0.674049
adaboost; False; {'n_estimators': 1000, 'learning_rate': 0.5}; False; 0:04:12.749000;0.960297;0.431587;0.960297;0.466812;0.960297;0.674668
adaboost; True; {'n_estimators': 1000, 'learning_rate': 0.5}; False; 0:00:18.081000;0.79104;0.646584;0.79104;0.421775;0.79104;0.674049
adaboost; False; {'n_estimators': 1000, 'learning_rate': 0.5}; False; 0:04:13.382000;0.960297;0.431587;0.960297;0.466812;0.960297;0.674668
adaboost; True; {'n_estimators': 1000, 'learning_rate': 0.1}; False; 0:00:25.318000;0.834841;0.635571;0.834841;0.43088;0.834841;0.679183
adaboost; False; {'n_estimators': 1000, 'learning_rate': 0.1}; False; 0:04:13.671000;0.960431;0.428647;0.960431;0.46482;0.960431;0.680749
adaboost; True; {'n_estimators': 100, 'learning_rate': 0.5}; False; 0:00:01.884000;0.835446;0.637077;0.835446;0.432406;0.835446;0.678805
adaboost; False; {'n_estimators': 100, 'learning_rate': 0.5}; False; 0:00:25.155000;0.960278;0.430002;0.960278;0.465402;0.960278;0.680714
adaboost; True; {'n_estimators': 100, 'learning_rate': 0.5}; False; 0:00:01.817000;0.835446;0.637077;0.835446;0.432406;0.835446;0.678805
adaboost; False; {'n_estimators': 100, 'learning_rate': 0.5}; False; 0:00:27.832000;0.960278;0.430002;0.960278;0.465402;0.960278;0.680714
adaboost; True; {'n_estimators': 100, 'learning_rate': 0.1}; False; 0:00:01.843000;0.859401;0.614528;0.859401;0.407249;0.859401;0.675215
adaboost; False; {'n_estimators': 100, 'learning_rate': 0.1}; False; 0:00:25.351000;0.960143;0.409273;0.960143;0.445688;0.960143;0.679337
