method; boosting; params; preshuffle; traintime; accuracy; recallmacro; recallmicro; f1macro; f1micro; meanndcg
gradient_boosting; True; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:00.719000;0.8145379423;0.6575772696;0.8145379423;0.4340625397;0.8145379423;0.6679608232
gradient_boosting; False; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:10.018000;0.9603161258;0.4374896874;0.9603161258;0.4719436685;0.9603161258;0.6749679178
gradient_boosting; True; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:00.598000;0.7960123952;0.6529473977;0.7960123952;0.4148623774;0.7960123952;0.6528249225
gradient_boosting; False; {'n_estimators': 10, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:09.855000;0.9592591703;0.3862534772;0.9592591703;0.416834839;0.9592591703;0.652977639
gradient_boosting; True; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:00.610000;0.8181508083;0.6562632585;0.8181508083;0.4346865318;0.8181508083;0.663575191
gradient_boosting; False; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 1.0, 'max_depth': None}; False; 0:00:09.132000;0.9603785822;0.432798884;0.9603785822;0.4683198742;0.9603785822;0.6743131568
gradient_boosting; True; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:00.749000;0.8175502654;0.6425951021;0.8175502654;0.4199327972;0.8175502654;0.6547527556
gradient_boosting; False; {'n_estimators': 10, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:09.596000;0.9592591703;0.3862534772;0.9592591703;0.416834839;0.9592591703;0.651012
gradient_boosting; True; {'n_estimators': 10, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:00.593000;0.8254053665;0.6115693488;0.8254053665;0.3861896021;0.8254053665;0.6631749708
gradient_boosting; False; {'n_estimators': 10, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_leaf_nodes': 4, 'learning_rate': 0.1, 'max_depth': None}; False; 0:00:12.571000;0.9552139134;0.3333333333;0.9552139134;0.3256980074;0.9552139134;0.6676834794
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:05.344000;0.8035263879;0.6518237063;0.8035263879;0.4287090953;0.8035263879;0.6629424408
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:01:34.181000;0.9591967138;0.4330766229;0.9591967138;0.4675569968;0.9591967138;0.6701169841
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:06.545000;0.8182372865;0.6565561838;0.8182372865;0.4330956601;0.8182372865;0.6706171374
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 1.0, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:03:22.092000;0.9604602561;0.4366031724;0.9604602561;0.4716568578;0.9604602561;0.6820315467
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:05.496000;0.7893103365;0.648150227;0.7893103365;0.4216569606;0.7893103365;0.6571610068
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 1.0, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:01:18.098000;0.9593024094;0.4333389268;0.9593024094;0.4674157802;0.9593024094;0.6661896763
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:05.358000;0.8158831584;0.6596114666;0.8158831584;0.4340398113;0.8158831584;0.6764529725
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'subsample': 0.5, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:01:23.839000;0.9604074083;0.438310512;0.9604074083;0.4729547944;0.9604074083;0.6826611074
gradient_boosting; True; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:03.617000;0.8196930025;0.6543408365;0.8196930025;0.4323509842;0.8196930025;0.670960742
gradient_boosting; False; {'max_leaf_nodes': 4, 'learning_rate': 0.1, 'n_estimators': 100, 'max_features': 2, 'random_state': 2, 'min_samples_split': 5, 'max_depth': None}; False; 0:00:58.581000;0.9601623868;0.4275387766;0.9601623868;0.4628997985;0.9601623868;0.679068545
